#    x        Cp  
   1.00000  0.23225
   0.99564  0.23398
   0.98786  0.20497
   0.97862  0.18426
   0.96829  0.16743
   0.95732  0.14813
   0.94599  0.12993
   0.93445  0.11373
   0.92281  0.09858
   0.91111  0.08500
   0.89938  0.07233
   0.88763  0.06009
   0.87586  0.04739
   0.86407  0.03436
   0.85226  0.02173
   0.84042  0.01023
   0.82857 -0.00234
   0.81671 -0.01306
   0.80484 -0.02505
   0.79295 -0.03603
   0.78106 -0.04780
   0.76916 -0.05876
   0.75725 -0.06978
   0.74534 -0.08015
   0.73343 -0.09046
   0.72153 -0.10140
   0.70962 -0.11258
   0.69771 -0.12423
   0.68581 -0.13585
   0.67391 -0.14813
   0.66202 -0.16027
   0.65015 -0.17291
   0.63829 -0.18522
   0.62644 -0.19845
   0.61460 -0.21041
   0.60276 -0.22304
   0.59092 -0.23568
   0.57908 -0.24793
   0.56725 -0.26143
   0.55543 -0.27474
   0.54361 -0.28902
   0.53181 -0.30328
   0.52002 -0.31759
   0.50824 -0.33240
   0.49647 -0.34698
   0.48471 -0.36215
   0.47296 -0.37714
   0.46122 -0.39234
   0.44948 -0.40765
   0.43776 -0.42318
   0.42604 -0.43924
   0.41433 -0.45523
   0.40264 -0.47215
   0.39097 -0.48948
   0.37931 -0.50659
   0.36767 -0.52384
   0.35604 -0.54095
   0.34443 -0.55805
   0.33283 -0.57506
   0.32124 -0.59260
   0.30967 -0.61079
   0.29812 -0.62932
   0.28659 -0.64828
   0.27509 -0.66722
   0.26362 -0.68701
   0.25218 -0.70665
   0.24078 -0.72673
   0.22942 -0.74750
   0.21811 -0.76914
   0.20686 -0.79093
   0.19567 -0.81197
   0.18455 -0.83259
   0.17349 -0.85214
   0.16251 -0.87108
   0.15161 -0.88949
   0.14081 -0.90846
   0.13013 -0.92510
   0.11957 -0.94033
   0.10915 -0.95339
   0.09889 -0.96353
   0.08883 -0.97306
   0.07903 -0.98190
   0.06952 -0.98430
   0.06038 -0.98104
   0.05168 -0.96849
   0.04353 -0.94476
   0.03607 -0.91351
   0.02943 -0.86468
   0.02371 -0.80728
   0.01892 -0.74138
   0.01499 -0.66430
   0.01180 -0.59014
   0.00921 -0.50817
   0.00710 -0.39660
   0.00538 -0.29056
   0.00397 -0.18337
   0.00281 -0.07005
   0.00187  0.05871
   0.00114  0.18392
   0.00061  0.32139
   0.00028  0.50009
   0.00016  0.70206
